#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>,,,,,
1719396527,0,31435.67,nan,29423.1,-170776
1719396530,0,32169.39,nan,28644.5,-167242
1719396532,0,32920.23,nan,27884.7,-163760
1719396535,0,33688.6,nan,27147.1,-160331
1719396538,0,34474.89,nan,26441,-157006
1719396541,0,35279.55,nan,25744.4,-153700
1719396543,0,36102.98,nan,25079.5,-150493
1719396546,0,36945.63,nan,24421.4,-147310
1719396549,0,37807.95,nan,23795.2,-144226
1719396551,0,38690.39,nan,23188.2,-141202
1719396554,0,39593.44,nan,22598.4,-138245
1719396557,0,40517.55,nan,22020.7,-135318
1719396559,0,41463.24,nan,21470.8,-132479
1719396562,0,42431,nan,20929,-129670
1719396565,0,43421.35,nan,20410.6,-126938
1719396567,0,44434.82,nan,19906.8,-124265
1719396570,0,45471.93,nan,19413.8,-121629
1719396572,0,46533.26,nan,18942,-119056
1719396575,0,47619.35,nan,18478.9,-116526
1719396578,0,48730.8,nan,18035.1,-114060
1719396580,0,49868.19,nan,17601.9,-111632
1719396583,0,51032.12,nan,17188.4,-109266
1719396586,0,52223.22,nan,16782.4,-106942
1719396588,0,53442.12,nan,16391,-104665
1719396591,0,54689.47,nan,16011.5,-102429
1719396593,0,55965.94,nan,15641.6,-100241
1719396596,0,57272.19,nan,15290.3,-98113.5
1719396599,0,58608.94,nan,14942.9,-96016.4
1719396601,0,59976.88,nan,14609.1,-93963.1
1719396604,0,61376.76,nan,14287.1,-91953.7
1719396607,0,62809.3,nan,13973,-89983.8
1719396609,0,64275.29,nan,13672,-88053.8
1719396612,0,65775.49,nan,13378.5,-86169.8
1719396615,0,67310.7,nan,13095,-84329.7
1719396617,0,68881.75,nan,12821.4,-82524
1719396620,0,70489.46,nan,12552.6,-80752.7
1719396623,0,72134.7,nan,12296.5,-79026.5
1719396625,0,73818.34,nan,12046.1,-77323.4
1719396628,0,75541.27,nan,11806.8,-75665.6
1719396631,0,77304.42,nan,11571,-74042.1
1719396633,0,79108.72,nan,11344.1,-72445.7
1719396636,0,80955.14,nan,11124.7,-70883.5
1719396639,0,82844.65,nan,10913.8,-69366
1719396641,0,84778.26,nan,10706.3,-67866
1719396644,0,86757,nan,10508,-66401.6
1719396646,0,88781.93,nan,10316,-64973.2
1719396649,0,90854.12,nan,10130.2,-63574.4
1719396652,0,92974.67,nan,9949.65,-62203.7
1719396654,0,95144.72,nan,9775.09,-60861.9
1719396657,0,97365.42,nan,9605.36,-59544.3
1719396659,0,99637.95,nan,9441.92,-58261.7
1719396662,0,101963.52,nan,9276.84,-56991.1
1719396665,0,104343.37,nan,9129.29,-55802.8
1719396667,0,106778.77,nan,8977.8,-54566.3
1719396670,0,109271.01,nan,8834.77,-53386.3
1719396672,0,111821.42,nan,8697.61,-52256.6
1719396675,0,114431.35,nan,8564.64,-51131.7
1719396678,0,117102.2,nan,8434.2,-50017.1
1719396680,0,119835.39,nan,8308.3,-48951.3
1719396683,0,122632.38,nan,8187.67,-47892.9
1719396685,0,125494.64,nan,8066.78,-46844.2
1719396688,0,128423.71,nan,7954.25,-45842.8
1719396691,0,131421.15,nan,7842.61,-44852.8
1719396693,0,134488.55,nan,7735.35,-43874.4
1719396696,0,137627.54,nan,7633.26,-42939.3
1719396699,0,140839.8,nan,7532.51,-42016.6
1719396701,0,144127.03,nan,7435.87,-41106.4
1719396704,0,147490.98,nan,7342.42,-40211.7
1719396707,0,150933.45,nan,7251.76,-39355.5
1719396709,0,154456.27,nan,7161.94,-38489.1
1719396712,0,158061.31,nan,7076.45,-37661.6
1719396715,0,161750.5,nan,6992.67,-36849.4
1719396717,0,165525.79,nan,6914.08,-36072.1
1719396720,0,169389.2,nan,6835.62,-35289.4
1719396723,0,173342.78,nan,6761.08,-34542
1719396725,0,177388.63,nan,6687.45,-33789.7
1719396728,0,181528.92,nan,6617.1,-33073.1
1719396730,0,185765.85,nan,6546.85,-32352.8
1719396733,0,190101.66,nan,6481.47,-31666.5
1719396736,0,194538.67,nan,6417.24,-30995
1719396738,0,199079.25,nan,6353.43,-30323.7
1719396741,0,203725.8,nan,6292.59,-29682.1
1719396743,0,208480.8,nan,6233.75,-29043.8
1719396746,0,213346.79,nan,6177.49,-28434
1719396749,0,218326.35,nan,6121.76,-27827
1719396751,0,223422.13,nan,6067.04,-27235
1719396754,0,228636.85,nan,6013.78,-26659.4
1719396756,0,233973.28,nan,5962.75,-26088.3
1719396759,0,239434.27,nan,5912.03,-25542
1719396762,0,245022.72,nan,5863.06,-25001.5
1719396764,0,250741.6,nan,5817.08,-24476.3
1719396767,0,256593.96,nan,5770.66,-23957.1
1719396770,0,262582.92,nan,5725.2,-23452.9
1719396772,0,268711.66,nan,5681.98,-22964.3
1719396775,0,274983.45,nan,5638.68,-22481.8
1719396778,0,281401.62,nan,5596.92,-22013.5
1719396780,0,287969.59,nan,5555.29,-21553.9
1719396783,0,294690.86,nan,5515.51,-21107.4
1719396786,0,301569.01,nan,5476.22,-20668.7
1719396788,0,308607.69,nan,5436.74,-20243.5
1719396791,0,315810.66,nan,5400.1,-19827.4
1719396794,0,323181.75,nan,5362.97,-19418.8
1719396796,0,330724.88,nan,5327.05,-19023
1719396799,0,338444.07,nan,5291.53,-18635.5
1719396802,0,346343.43,nan,5256.92,-18256.3
1719396804,0,354427.16,nan,5221.85,-17884.7
1719396807,0,362699.56,nan,5187.98,-17522.1
1719396809,0,371165.05,nan,5153.49,-17167.5
1719396812,0,379828.12,nan,5121.24,-16826
1719396815,0,388693.39,nan,5088.09,-16487.9
1719396817,0,397765.57,nan,5056.14,-16158.5
1719396820,0,407049.5,nan,5024.05,-15840.7
1719396822,0,416550.13,nan,4991.78,-15524.7
1719396825,0,426272.49,nan,4969.04,-15219.9
1719396828,0,436221.78,nan,4940.76,-14923.7
1719396830,0,446403.29,nan,4909.64,-14632.5
1719396833,0,456822.44,nan,4876.37,-14349.2
1719396836,0,467484.77,nan,4838.26,-14071.1
1719396838,0,478395.97,nan,4807.74,-13801.8
1719396841,0,489561.83,nan,4777.35,-13537.9
1719396843,0,500988.31,nan,4746.81,-13281.3
1719396846,0,512681.48,nan,4716.53,-13030.5
1719396849,0,524647.58,nan,4685.89,-12786.7
1719396851,0,536892.96,nan,4654.02,-12547
1719396854,0,549424.16,nan,4620.28,-12314.7
1719396857,0,562247.83,nan,4589.02,-12088.6
1719396859,0,575370.82,nan,4559.21,-11865.6
1719396862,0,588800.1,nan,4528.77,-11650.3
1719396865,0,602542.81,nan,4497.63,-11440
1719396867,0,616606.29,nan,4466.07,-11234.1
1719396870,0,630998.01,nan,4434.21,-11033.5
1719396873,0,645725.64,nan,4402.54,-10838.6
1719396875,0,660797.01,nan,4370.34,-10647.4
1719396878,0,676220.16,nan,4337.21,-10461.6
1719396881,0,692003.28,nan,4305.36,-10280.7
1719396883,0,708154.78,nan,4272.12,-10103.2
1719396886,0,724683.26,nan,4238.54,-9930.76
1719396888,0,741597.53,nan,4205.2,-9763.02
1719396891,0,758906.57,nan,4172.18,-9598.59
1719396894,0,776619.61,nan,4137.94,-9438.99
1719396896,0,794746.08,nan,4103.6,-9283.63
1719396899,0,813295.62,nan,4068.92,-9130.85
1719396901,0,832278.11,nan,4034.01,-8981.99
1719396904,0,851703.66,nan,3997.98,-8836.66
1719396907,0,871582.6,nan,3961.14,-8695.18
1719396909,0,891925.53,nan,3925.37,-8556.99
1719396912,0,912743.26,nan,3888.79,-8421.5
1719396914,0,934046.88,nan,3855.5,-8289.84
1719396917,0,955847.73,nan,3818.08,-8161.22
1719396920,0,978157.42,nan,3780.18,-8034.83
1719396922,0,1000987.82,nan,3742.04,-7912.16
1719396925,0,1024351.09,nan,3704.01,-7793.67
1719396928,0,1048259.66,nan,3664.6,-7675.91
1719396930,0,1072726.26,nan,3624.08,-7558.76
1719396933,0,1097763.92,nan,3584.34,-7446.85
1719396936,0,1123385.96,nan,3545.02,-7339.51
1719396938,0,1149606.03,nan,3503.16,-7229.1
1719396941,0,1176438.08,nan,3463.38,-7127.1
1719396944,0,1203896.39,nan,3420.97,-7022.35
1719396946,0,1231995.59,nan,3379.35,-6922.01
1719396949,0,1260750.63,nan,3336.94,-6822.02
1719396952,0,1290176.82,nan,3295.23,-6726.56
1719396954,0,1320289.82,nan,3252.46,-6631.88
1719396957,0,1351105.66,nan,3208.51,-6537.54
1719396959,0,1382640.76,nan,3165.1,-6445.1
1719396962,0,1414911.88,nan,3122.18,-6355.51
1719396965,0,1447936.23,nan,3078.46,-6267.49
1719396967,0,1481731.37,nan,3033.94,-6179.52
1719396970,0,1516315.29,nan,2991.18,-6096
1719396973,0,1551706.41,nan,2946.36,-6010.41
1719396975,0,1587923.57,nan,2902.55,-5927.83
1719396978,0,1624986.04,nan,2857.69,-5847.21
1719396980,0,1662913.56,nan,2813.23,-5767.33
1719396983,0,1701726.32,nan,2768.7,-5687.58
1719396986,0,1741444.97,nan,2724.75,-5611.92
1719396988,0,1782090.66,nan,2679,-5534.35
1719396991,0,1823685.04,nan,2634.3,-5458.17
1719396993,0,1866250.24,nan,2585.22,-5386.04
1719396996,0,1909808.91,nan,2540.62,-5311.66
1719396999,0,1954384.26,nan,2497.47,-5239.86
1719397001,0,2000000,nan,2452.78,-5167.01
1719397006,0.1,20,nan,11421400,-3729060
1719397011,0.1,20.47,nan,11163600,-3676040
1719397015,0.1,20.94,nan,11163400,-3799230
1719397020,0.1,21.43,nan,11086400,-3717100
1719397024,0.1,21.93,nan,11050300,-3750930
1719397029,0.1,22.45,nan,10999500,-3710290
1719397033,0.1,22.97,nan,10934900,-3739560
1719397037,0.1,23.51,nan,10870300,-3714140
1719397042,0.1,24.05,nan,10802000,-3749530
1719397047,0.1,24.62,nan,10712400,-3762150
1719397053,0.1,25.19,nan,10717500,-3725410
1719397059,0.1,25.78,nan,10656500,-3722720
1719397066,0.1,26.38,nan,10586400,-3732890
1719397072,0.1,27,nan,10520600,-3756160
1719397078,0.1,27.63,nan,10473400,-3732000
1719397084,0.1,28.27,nan,10436000,-3758290
1719397089,0.1,28.93,nan,10399300,-3774690
1719397095,0.1,29.61,nan,10347700,-3749100
1719397100,0.1,30.3,nan,10262300,-3806640
1719397106,0.1,31,nan,10235100,-3790130
1719397111,0.1,31.73,nan,10131700,-3763700
1719397116,0.1,32.47,nan,10142500,-3810280
1719397121,0.1,33.23,nan,10069900,-3741070
1719397126,0.1,34,nan,10015900,-3730300
1719397131,0.1,34.79,nan,9898580,-3849690
1719397136,0.1,35.61,nan,9879110,-3832360
1719397141,0.1,36.44,nan,9815680,-3773740
1719397146,0.1,37.29,nan,9790170,-3809070
1719397151,0.1,38.16,nan,9759410,-3813510
1719397155,0.1,39.05,nan,9686010,-3854910
1719397159,0.1,39.96,nan,9611710,-3829020
1719397164,0.1,40.89,nan,9584650,-3822410
1719397168,0.1,41.85,nan,9498780,-3850900
1719397172,0.1,42.82,nan,9461320,-3837930
1719397176,0.1,43.82,nan,9380160,-3862970
1719397180,0.1,44.85,nan,9320060,-3851060
1719397183,0.1,45.89,nan,9290100,-3856210
1719397187,0.1,46.96,nan,9228910,-3873090
1719397191,0.1,48.06,nan,9181780,-3892940
1719397194,0.1,49.18,nan,9118050,-3845010
1719397199,0.1,50.33,nan,9114590,-4025930
1719397204,0.1,51.51,nan,9079270,-3921640
1719397208,0.1,52.71,nan,8915390,-3902660
1719397212,0.1,53.94,nan,8902460,-3890380
1719397217,0.1,55.2,nan,8820080,-3916640
1719397221,0.1,56.48,nan,8765380,-3924850
1719397225,0.1,57.8,nan,8693960,-3950310
1719397230,0.1,59.15,nan,8681050,-3945860
1719397234,0.1,60.53,nan,8586860,-3970830
1719397238,0.1,61.95,nan,8531990,-3959630
1719397242,0.1,63.39,nan,8482560,-3959750
1719397245,0.1,64.87,nan,8400510,-3953030
1719397249,0.1,66.39,nan,8375030,-3949640
1719397252,0.1,67.93,nan,8325330,-3976320
1719397256,0.1,69.52,nan,8231390,-3977460
1719397259,0.1,71.14,nan,8154580,-3993990
1719397263,0.1,72.8,nan,8110140,-4003410
1719397266,0.1,74.5,nan,8021060,-4004080
1719397270,0.1,76.24,nan,7991310,-4001240
1719397274,0.1,78.02,nan,7913780,-4008770
1719397278,0.1,79.84,nan,7852470,-4022240
1719397282,0.1,81.71,nan,7807880,-4001550
1719397285,0.1,83.61,nan,7729350,-4013350
1719397289,0.1,85.56,nan,7679400,-4014730
1719397293,0.1,87.56,nan,7617360,-4021960
1719397296,0.1,89.61,nan,7544360,-4034230
1719397300,0.1,91.7,nan,7493590,-4060000
1719397303,0.1,93.84,nan,7432810,-4092130
1719397306,0.1,96.03,nan,7613830,-3724380
1719397309,0.1,98.27,nan,7322190,-4029040
1719397313,0.1,100.56,nan,7227350,-4075870
1719397317,0.1,102.91,nan,7176610,-4071270
1719397320,0.1,105.31,nan,7096880,-4062960
1719397324,0.1,107.77,nan,7040050,-4057380
1719397328,0.1,110.28,nan,6957450,-4066290
1719397331,0.1,112.86,nan,6899890,-4067370
1719397334,0.1,115.49,nan,6732580,-4120200
1719397338,0.1,118.19,nan,6770840,-4077130
1719397341,0.1,120.95,nan,6725630,-4073190
1719397344,0.1,123.77,nan,6646090,-4070270
1719397347,0.1,126.66,nan,6561600,-4079360
1719397351,0.1,129.61,nan,6509320,-4075070
1719397354,0.1,132.64,nan,6435530,-4078860
1719397357,0.1,135.74,nan,6373500,-4082400
1719397360,0.1,138.9,nan,6299340,-4076270
1719397363,0.1,142.15,nan,6230330,-4080880
1719397366,0.1,145.46,nan,6156000,-4081890
1719397369,0.1,148.86,nan,6108360,-4072980
1719397373,0.1,152.33,nan,6033340,-4064400
1719397376,0.1,155.89,nan,5969320,-4075670
1719397379,0.1,159.53,nan,5908440,-4051160
1719397382,0.1,163.25,nan,5821230,-4060830
1719397385,0.1,167.06,nan,5752970,-4058690
1719397388,0.1,170.96,nan,5686370,-4057420
1719397391,0.1,174.95,nan,5623280,-4050250
1719397394,0.1,179.03,nan,5551540,-4046600
1719397397,0.1,183.21,nan,5484390,-4033930
1719397400,0.1,187.49,nan,5415190,-4034800
1719397403,0.1,191.86,nan,5344090,-4019950
1719397406,0.1,196.34,nan,5273370,-4016280
1719397410,0.1,200.93,nan,5206240,-4018210
1719397413,0.1,205.61,nan,5134620,-4005630
1719397416,0.1,210.41,nan,5065020,-3990700
1719397419,0.1,215.32,nan,4995400,-3982660
1719397422,0.1,220.35,nan,4924280,-3974310
1719397425,0.1,225.49,nan,4856660,-3966090
1719397428,0.1,230.76,nan,4787960,-3956020
1719397431,0.1,236.14,nan,4719850,-3939540
1719397434,0.1,241.65,nan,4651520,-3928610
1719397437,0.1,247.29,nan,4580250,-3912880
1719397440,0.1,253.07,nan,4509650,-3900980
1719397443,0.1,258.97,nan,4440490,-3882320
1719397446,0.1,265.02,nan,4378380,-3864290
1719397449,0.1,271.2,nan,4300240,-3855720
1719397452,0.1,277.53,nan,4236910,-3821860
1719397455,0.1,284.01,nan,4176430,-3819820
1719397458,0.1,290.64,nan,4109230,-3802230
1719397461,0.1,297.42,nan,4041730,-3783690
1719397464,0.1,304.37,nan,3977900,-3764260
1719397467,0.1,311.47,nan,3911190,-3740230
1719397470,0.1,318.74,nan,3843240,-3721240
1719397473,0.1,326.18,nan,3778020,-3699500
1719397476,0.1,333.79,nan,3714170,-3681160
1719397479,0.1,341.58,nan,3651660,-3656220
1719397482,0.1,349.55,nan,3580520,-3627820
1719397485,0.1,357.71,nan,3520810,-3609540
1719397490,0.2,20,nan,10989700,-3767500
